starttime	                seconds  ctime dtime ttime	wait
Thu Jul 24 11:06:39 2014	1406192799	39	46	84	45
Thu Jul 24 11:06:39 2014	1406192799	39	47	86	47
Thu Jul 24 11:06:43 2014	1406192803	39	47	86	45
Thu Jul 24 11:06:43 2014	1406192803	39	47	86	45
Thu Jul 24 11:06:37 2014	1406192797	39	48	86	46
Thu Jul 24 11:06:54 2014	1406192814	39	48	86	48
Thu Jul 24 11:06:39 2014	1406192799	39	47	87	46
Thu Jul 24 11:06:55 2014	1406192815	39	48	87	46
Thu Jul 24 11:06:44 2014	1406192804	39	48	87	46
Thu Jul 24 11:06:37 2014	1406192797	39	48	87	45
Thu Jul 24 11:06:35 2014	1406192795	39	48	87	47
Thu Jul 24 11:06:41 2014	1406192801	39	48	87	48
Thu Jul 24 11:06:49 2014	1406192809	39	48	87	46
Thu Jul 24 11:06:35 2014	1406192795	39	49	87	49
Thu Jul 24 11:06:55 2014	1406192815	39	49	87	46
Thu Jul 24 11:06:51 2014	1406192811	39	49	88	46
Thu Jul 24 11:06:51 2014	1406192811	39	48	88	45
Thu Jul 24 11:06:37 2014	1406192797	39	49	88	46
Thu Jul 24 11:06:42 2014	1406192802	40	48	88	45
Thu Jul 24 11:06:38 2014	1406192798	38	49	88	46
Thu Jul 24 11:06:43 2014	1406192803	39	49	88	47
Thu Jul 24 11:06:38 2014	1406192798	39	49	88	48
Thu Jul 24 11:06:32 2014	1406192792	40	48	88	47
Thu Jul 24 11:06:42 2014	1406192802	39	50	88	47
Thu Jul 24 11:06:43 2014	1406192803	39	49	88	47
Thu Jul 24 11:06:41 2014	1406192801	38	50	88	48
Thu Jul 24 11:06:35 2014	1406192795	39	49	88	47
Thu Jul 24 11:06:42 2014	1406192802	39	49	88	48
Thu Jul 24 11:06:55 2014	1406192815	39	49	88	47
Thu Jul 24 11:06:39 2014	1406192799	39	50	88	46
Thu Jul 24 11:06:38 2014	1406192798	39	50	89	50
Thu Jul 24 11:06:38 2014	1406192798	42	47	89	45
Thu Jul 24 11:06:47 2014	1406192807	39	50	89	47
Thu Jul 24 11:06:35 2014	1406192795	39	49	89	49
